@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE season NUMERIC
@ATTRIBUTE commentCount NUMERIC
@ATTRIBUTE greatComment NUMERIC
@ATTRIBUTE goodComment NUMERIC
@ATTRIBUTE badComment NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
61182758,5426737,5,20170815103743,08,55,51,4,0,51
59775813,5426737,4,20170425142249,04,55,51,4,0,51
69929795,5426737,4,20170221122228,02,55,51,4,0,51
5028582,5426737,3,20170901171000,09,55,51,4,0,51
51650674,5426737,4,20170804142023,08,55,51,4,0,51
85982192,5426737,5,20170615140437,06,55,51,4,0,51
87149719,5426737,5,20170605134904,06,55,51,4,0,51
86658600,5426737,5,20170201093933,02,55,51,4,0,51
67025169,5426737,5,20170124124000,01,55,51,4,0,51
91548578,5426737,4,20170118200504,01,55,51,4,0,51
37972963,5426737,5,20161110083958,11,55,51,4,0,51
45969171,5426737,3,20161022225558,10,55,51,4,0,51
1381100473,5426737,4,20161002100420,10,55,51,4,0,51
19087787,5426737,3,20160922150635,09,55,51,4,0,51
5338768,5426737,5,20160708004346,07,55,51,4,0,51
93474978,8473068,1,20161002170314,10,1,0,0,0,46
5334886,6588597,1,20170620092655,06,5,1,1,0,51
52268437,6588597,4,20161203101902,12,5,1,1,0,51
13002777,6588597,4,20141231163740,12,5,1,1,0,51
5060488,6588597,3,20140729180656,07,5,1,1,0,51
264031,6588597,5,20140306132354,03,5,1,1,0,51
81946264,882154,5,20140621123805,06,88,48,32,7,44
470344,882154,4,20140515210943,05,88,48,32,7,44
19660124,882154,4,20140513134356,05,88,48,32,7,44
49128303,882154,4,20140416232900,04,88,48,32,7,44
50863275,882154,5,20140410125136,04,88,48,32,7,44
948620,882154,4,20140408104218,04,88,48,32,7,44
41900929,882154,4,20140322214751,03,88,48,32,7,44
59380787,882154,4,20140322204050,03,88,48,32,7,44
63390766,882154,3,20140304131532,03,88,48,32,7,44
19731650,882154,2,20140216120826,02,88,48,32,7,44
71797120,882154,3,20140125202604,01,88,48,32,7,44
19191398,882154,3,20131228141839,12,88,48,32,7,44
34371327,882154,2,20131227121247,12,88,48,32,7,44
93814475,5438904,3,20170901145950,09,131,73,47,11,26
74267586,5438904,4,20170701102404,07,131,73,47,11,26
82717439,5438904,4,20170618204835,06,131,73,47,11,26
48433086,5438904,3,20170504165720,05,131,73,47,11,26
91727393,5438904,5,20170327220731,03,131,73,47,11,26
55412083,5438904,3,20161126204950,11,131,73,47,11,26
60049768,5438904,3,20161025155311,10,131,73,47,11,26
5486156,5438904,4,20160520142444,05,131,73,47,11,26
62525698,5438904,3,20160514072838,05,131,73,47,11,26
34865671,5438904,1,20160414145418,04,131,73,47,11,26
90460320,5438904,5,20160414135607,04,131,73,47,11,26
72954917,5438904,4,20160328213516,03,131,73,47,11,26
5575708,5438904,4,20160326203626,03,131,73,47,11,26
46758152,5438904,5,20160322134852,03,131,73,47,11,26
266064,5438904,3,20160317181757,03,131,73,47,11,26
85078690,10007,3,20170529111421,05,60,53,6,1,68
90401345,10007,3,20170807085923,08,60,53,6,1,68
31157787,10007,4,20170320140631,03,60,53,6,1,68
55947115,10007,4,20161018170606,10,60,53,6,1,68
31870162,10007,5,20161008222459,10,60,53,6,1,68
320111,10007,4,20160930154904,09,60,53,6,1,68
19441100,10007,4,20160808140023,08,60,53,6,1,68
77769807,10007,5,20160720063454,07,60,53,6,1,68
66058329,10007,5,20160526180017,05,60,53,6,1,68
84439111,10007,5,20160524104221,05,60,53,6,1,68
90460320,10007,5,20160401110016,04,60,53,6,1,68
90520219,10007,5,20160327112619,03,60,53,6,1,68
80048035,10007,5,20160317190930,03,60,53,6,1,68
17470407,10007,4,20151027155606,10,60,53,6,1,68
50127877,10007,3,20151120063849,11,60,53,6,1,68
10403306,7900619,5,20140526000930,05,152,113,32,7,46
42722877,7900619,5,20140522151230,05,152,113,32,7,46
82696130,7900619,3,20140427015320,04,152,113,32,7,46
47994669,7900619,3,20140424203902,04,152,113,32,7,46
82852360,7900619,3,20140418141546,04,152,113,32,7,46
51896978,7900619,4,20140417132911,04,152,113,32,7,46
82030363,7900619,5,20140415155910,04,152,113,32,7,46
69612300,7900619,5,20140415111210,04,152,113,32,7,46
30117631,7900619,5,20140414230120,04,152,113,32,7,46
75892404,7900619,5,20140406111355,04,152,113,32,7,46
64478730,7900619,3,20140328141740,03,152,113,32,7,46
51320133,7900619,4,20140324193628,03,152,113,32,7,46
66807807,7900619,5,20140318153603,03,152,113,32,7,46
176386,7900619,5,20140316110952,03,152,113,32,7,46
17217882,7900619,5,20140225194046,02,152,113,32,7,46
1087033,9033765,4,20160824105853,08,24,14,3,8,46
68397948,9033765,3,20160817180855,08,24,14,3,8,46
10569898,9033765,1,20160730171906,07,24,14,3,8,46
33122061,9033765,5,20160701113959,07,24,14,3,8,46
55066214,9033765,3,20160610135717,06,24,14,3,8,46
35996631,9033765,5,20160512162414,05,24,14,3,8,46
5131876,9033765,5,20160413205020,04,24,14,3,8,46
49232376,9033765,5,20160407220547,04,24,14,3,8,46
48242209,9033765,4,20160319151107,03,24,14,3,8,46
39942441,882154,5,20141224104540,12,88,48,32,7,46
2131530,882154,5,20141209104946,12,88,48,32,7,46
42768183,882154,3,20141105103611,11,88,48,32,7,46
19302912,882154,4,20140926171702,09,88,48,32,7,46
51990330,882154,4,20140926113738,09,88,48,32,7,46
158081,882154,3,20140920112025,09,88,48,32,7,46
59904862,882154,5,20140917113858,09,88,48,32,7,46
5384605,882154,4,20140908011531,09,88,48,32,7,46
71196672,882154,3,20140902133416,09,88,48,32,7,46
17229738,882154,3,20140828090645,08,88,48,32,7,46
17245887,882154,3,20140815144326,08,88,48,32,7,46
86718933,882154,1,20140808163541,08,88,48,32,7,46
17374199,882154,5,20140728101653,07,88,48,32,7,46
10240389,882154,3,20140726095916,07,88,48,32,7,46
17658201,882154,5,20140717165621,07,88,48,32,7,46
67535465,7900619,3,20140901155957,09,152,113,32,7,46
52576710,7900619,4,20140822193142,08,152,113,32,7,46
36281389,7900619,4,20140822102621,08,152,113,32,7,46
587403,7900619,3,20140818101914,08,152,113,32,7,46
17297059,7900619,5,20140812112117,08,152,113,32,7,46
90029721,7900619,5,20140804151120,08,152,113,32,7,46
83683458,7900619,5,20140731104336,07,152,113,32,7,46
939227,7900619,4,20140727205941,07,152,113,32,7,46
52666344,7900619,5,20140725125558,07,152,113,32,7,46
37076884,7900619,5,20140707154836,07,152,113,32,7,46
43069673,7900619,5,20140628210440,06,152,113,32,7,46
739287,7900619,2,20140625002407,06,152,113,32,7,46
48089716,7900619,4,20140616125410,06,152,113,32,7,46
19083211,7900619,3,20140609105341,06,152,113,32,7,46
35790884,7900619,4,20140527142321,05,152,113,32,7,46
927538,882154,3,20150809204118,08,88,48,32,7,46
49623999,882154,3,20150805001412,08,88,48,32,7,46
54483776,882154,3,20150729095415,07,88,48,32,7,46
36759789,882154,5,20150616101655,06,88,48,32,7,46
17224276,882154,4,20150609015707,06,88,48,32,7,46
90115323,882154,5,20150505235310,05,88,48,32,7,46
1385476500,882154,5,20150420202851,04,88,48,32,7,46
89815846,882154,3,20150406223850,04,88,48,32,7,46
58813115,882154,3,20150404155134,04,88,48,32,7,46
59356254,882154,4,20150310154803,03,88,48,32,7,46
710037,882154,5,20150302090657,03,88,48,32,7,46
31984744,882154,3,20150224091647,02,88,48,32,7,46
42106862,882154,4,20150206131718,02,88,48,32,7,46
553001,882154,4,20150114104225,01,88,48,32,7,46
364868,882154,3,20150106213521,01,88,48,32,7,46
85346623,9033765,1,20170805230459,08,24,14,3,8,46
63945255,9033765,1,20170804114525,08,24,14,3,8,46
46134329,9033765,1,20170616050455,06,24,14,3,8,46
5260697,9033765,4,20170302164648,03,24,14,3,8,46
5517678,9033765,5,20170901100558,09,24,14,3,8,46
