@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC

@DATA
61182758,5426737,5,20170815103743
59775813,5426737,4,20170425142249
69929795,5426737,4,20170221122228
5028582,5426737,3,20170901171000
51650674,5426737,4,20170804142023
85982192,5426737,5,20170615140437
87149719,5426737,5,20170605134904
86658600,5426737,5,20170201093933
67025169,5426737,5,20170124124000
91548578,5426737,4,20170118200504
37972963,5426737,5,20161110083958
45969171,5426737,3,20161022225558
1381100473,5426737,4,20161002100420
19087787,5426737,3,20160922150635
5338768,5426737,5,20160708004346
93474978,8473068,1,20161002170314
5334886,6588597,1,20170620092655
52268437,6588597,4,20161203101902
13002777,6588597,4,20141231163740
5060488,6588597,3,20140729180656
264031,6588597,5,20140306132354
81946264,882154,5,20140621123805
470344,882154,4,20140515210943
19660124,882154,4,20140513134356
49128303,882154,4,20140416232900
50863275,882154,5,20140410125136
948620,882154,4,20140408104218
41900929,882154,4,20140322214751
59380787,882154,4,20140322204050
63390766,882154,3,20140304131532
19731650,882154,2,20140216120826
71797120,882154,3,20140125202604
19191398,882154,3,20131228141839
34371327,882154,2,20131227121247
93814475,5438904,3,20170901145950
74267586,5438904,4,20170701102404
82717439,5438904,4,20170618204835
48433086,5438904,3,20170504165720
91727393,5438904,5,20170327220731
55412083,5438904,3,20161126204950
60049768,5438904,3,20161025155311
5486156,5438904,4,20160520142444
62525698,5438904,3,20160514072838
34865671,5438904,1,20160414145418
90460320,5438904,5,20160414135607
72954917,5438904,4,20160328213516
5575708,5438904,4,20160326203626
46758152,5438904,5,20160322134852
266064,5438904,3,20160317181757
85078690,10007,3,20170529111421
90401345,10007,3,20170807085923
31157787,10007,4,20170320140631
55947115,10007,4,20161018170606
31870162,10007,5,20161008222459
320111,10007,4,20160930154904
19441100,10007,4,20160808140023
77769807,10007,5,20160720063454
66058329,10007,5,20160526180017
84439111,10007,5,20160524104221
90460320,10007,5,20160401110016
90520219,10007,5,20160327112619
80048035,10007,5,20160317190930
17470407,10007,4,20151027155606
50127877,10007,3,20151120063849
10403306,7900619,5,20140526000930
42722877,7900619,5,20140522151230
82696130,7900619,3,20140427015320
47994669,7900619,3,20140424203902
82852360,7900619,3,20140418141546
51896978,7900619,4,20140417132911
82030363,7900619,5,20140415155910
69612300,7900619,5,20140415111210
30117631,7900619,5,20140414230120
75892404,7900619,5,20140406111355
64478730,7900619,3,20140328141740
51320133,7900619,4,20140324193628
66807807,7900619,5,20140318153603
176386,7900619,5,20140316110952
17217882,7900619,5,20140225194046
1087033,9033765,4,20160824105853
68397948,9033765,3,20160817180855
10569898,9033765,1,20160730171906
33122061,9033765,5,20160701113959
55066214,9033765,3,20160610135717
35996631,9033765,5,20160512162414
5131876,9033765,5,20160413205020
49232376,9033765,5,20160407220547
48242209,9033765,4,20160319151107
39942441,882154,5,20141224104540
2131530,882154,5,20141209104946
42768183,882154,3,20141105103611
19302912,882154,4,20140926171702
51990330,882154,4,20140926113738
158081,882154,3,20140920112025
59904862,882154,5,20140917113858
5384605,882154,4,20140908011531
71196672,882154,3,20140902133416
17229738,882154,3,20140828090645
17245887,882154,3,20140815144326
86718933,882154,1,20140808163541
17374199,882154,5,20140728101653
10240389,882154,3,20140726095916
17658201,882154,5,20140717165621
67535465,7900619,3,20140901155957
52576710,7900619,4,20140822193142
36281389,7900619,4,20140822102621
587403,7900619,3,20140818101914
17297059,7900619,5,20140812112117
90029721,7900619,5,20140804151120
83683458,7900619,5,20140731104336
939227,7900619,4,20140727205941
52666344,7900619,5,20140725125558
37076884,7900619,5,20140707154836
43069673,7900619,5,20140628210440
739287,7900619,2,20140625002407
48089716,7900619,4,20140616125410
19083211,7900619,3,20140609105341
35790884,7900619,4,20140527142321
927538,882154,3,20150809204118
49623999,882154,3,20150805001412
54483776,882154,3,20150729095415
36759789,882154,5,20150616101655
17224276,882154,4,20150609015707
90115323,882154,5,20150505235310
1385476500,882154,5,20150420202851
89815846,882154,3,20150406223850
58813115,882154,3,20150404155134
59356254,882154,4,20150310154803
710037,882154,5,20150302090657
31984744,882154,3,20150224091647
42106862,882154,4,20150206131718
553001,882154,4,20150114104225
364868,882154,3,20150106213521
85346623,9033765,1,20170805230459
63945255,9033765,1,20170804114525
46134329,9033765,1,20170616050455
5260697,9033765,4,20170302164648
5517678,9033765,5,20170901100558
85554465,9033765,4,20170813195122
5148322,9033765,1,20170805185529
5606415,9033765,5,20170731195458
