@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC

@DATA
61182758,5426737,5,20170815
59775813,5426737,4,20170425
69929795,5426737,4,20170221
5028582,5426737,3,20170901
51650674,5426737,4,20170804
85982192,5426737,5,20170615
87149719,5426737,5,20170605
86658600,5426737,5,20170201
67025169,5426737,5,20170124
91548578,5426737,4,20170118
37972963,5426737,5,20161110
45969171,5426737,3,20161022
1381100473,5426737,4,20161002
19087787,5426737,3,20160922
5338768,5426737,5,20160708
93474978,8473068,1,20161002
5334886,6588597,1,20170620
52268437,6588597,4,20161203
13002777,6588597,4,20141231
5060488,6588597,3,20140729
264031,6588597,5,20140306
81946264,882154,5,20140621
470344,882154,4,20140515
19660124,882154,4,20140513
49128303,882154,4,20140416
50863275,882154,5,20140410
948620,882154,4,20140408
41900929,882154,4,20140322
59380787,882154,4,20140322
63390766,882154,3,20140304
19731650,882154,2,20140216
71797120,882154,3,20140125
19191398,882154,3,20131228
34371327,882154,2,20131227
93814475,5438904,3,20170901
74267586,5438904,4,20170701
82717439,5438904,4,20170618
48433086,5438904,3,20170504
91727393,5438904,5,20170327
55412083,5438904,3,20161126
60049768,5438904,3,20161025
5486156,5438904,4,20160520
62525698,5438904,3,20160514
34865671,5438904,1,20160414
90460320,5438904,5,20160414
72954917,5438904,4,20160328
5575708,5438904,4,20160326
46758152,5438904,5,20160322
266064,5438904,3,20160317
85078690,10007,3,20170529
90401345,10007,3,20170807
31157787,10007,4,20170320
55947115,10007,4,20161018
31870162,10007,5,20161008
320111,10007,4,20160930
19441100,10007,4,20160808
77769807,10007,5,20160720
66058329,10007,5,20160526
84439111,10007,5,20160524
90460320,10007,5,20160401
90520219,10007,5,20160327
80048035,10007,5,20160317
17470407,10007,4,20151027
50127877,10007,3,20151120
10403306,7900619,5,20140526
42722877,7900619,5,20140522
82696130,7900619,3,20140427
47994669,7900619,3,20140424
82852360,7900619,3,20140418
51896978,7900619,4,20140417
82030363,7900619,5,20140415
69612300,7900619,5,20140415
30117631,7900619,5,20140414
75892404,7900619,5,20140406
64478730,7900619,3,20140328
51320133,7900619,4,20140324
66807807,7900619,5,20140318
176386,7900619,5,20140316
17217882,7900619,5,20140225
1087033,9033765,4,20160824
68397948,9033765,3,20160817
10569898,9033765,1,20160730
33122061,9033765,5,20160701
55066214,9033765,3,20160610
35996631,9033765,5,20160512
5131876,9033765,5,20160413
49232376,9033765,5,20160407
48242209,9033765,4,20160319
39942441,882154,5,20141224
2131530,882154,5,20141209
42768183,882154,3,20141105
19302912,882154,4,20140926
51990330,882154,4,20140926
158081,882154,3,20140920
59904862,882154,5,20140917
5384605,882154,4,20140908
71196672,882154,3,20140902
17229738,882154,3,20140828
17245887,882154,3,20140815
86718933,882154,1,20140808
17374199,882154,5,20140728
10240389,882154,3,20140726
17658201,882154,5,20140717
67535465,7900619,3,20140901
52576710,7900619,4,20140822
36281389,7900619,4,20140822
587403,7900619,3,20140818
17297059,7900619,5,20140812
90029721,7900619,5,20140804
83683458,7900619,5,20140731
939227,7900619,4,20140727
52666344,7900619,5,20140725
37076884,7900619,5,20140707
43069673,7900619,5,20140628
739287,7900619,2,20140625
48089716,7900619,4,20140616
19083211,7900619,3,20140609
35790884,7900619,4,20140527
927538,882154,3,20150809
49623999,882154,3,20150805
54483776,882154,3,20150729
36759789,882154,5,20150616
17224276,882154,4,20150609
90115323,882154,5,20150505
1385476500,882154,5,20150420
89815846,882154,3,20150406
58813115,882154,3,20150404
59356254,882154,4,20150310
710037,882154,5,20150302
31984744,882154,3,20150224
42106862,882154,4,20150206
553001,882154,4,20150114
364868,882154,3,20150106
85346623,9033765,1,20170805
63945255,9033765,1,20170804
46134329,9033765,1,20170616
5260697,9033765,4,20170302
5517678,9033765,5,20170901
85554465,9033765,4,20170813
5148322,9033765,1,20170805
5606415,9033765,5,20170731
88653982,9033765,1,20170629
75427849,9033765,4,20170125
37730719,9033765,1,20170115
33410508,9033765,5,20161223
63221833,9033765,1,20161007
64665009,9033765,5,20160911
93126362,9033765,3,20160828
17089746,5438654,5,20140304
30090484,7925427,3,20160427
40884383,7925427,3,20150929
68226330,7925427,3,20150921
62632430,7925427,3,20150822
48262917,7925427,3,20150810
75063435,7925427,3,20150507
57816645,7925427,5,20140831
19338802,7925427,3,20140822
87269511,7900619,4,20150525
86921328,7900619,3,20150316
35758270,7900619,5,20150210
83084459,7900619,4,20150206
43974402,7900619,5,20150119
66944167,7900619,5,20150118
50257914,7900619,4,20141229
89513539,7900619,5,20141224
82680859,7900619,5,20141201
82034884,7900619,5,20141130
60398453,7900619,5,20141125
65035792,7900619,5,20141109
36663779,7900619,4,20141031
71722033,7900619,5,20141024
39164466,7900619,4,20140925
66716514,882154,2,20151105
66441144,882154,3,20151028
91461705,882154,5,20151022
17459344,882154,5,20151016
72261354,882154,5,20151015
59682099,882154,4,20150929
17460966,882154,4,20150922
57727670,882154,4,20150913
64005679,882154,3,20150829
5556565,882154,5,20150827
39845602,882154,3,20150826
55202325,882154,5,20150822
84365595,882154,5,20150821
43992553,882154,3,20150817
74308733,882154,5,20150812
64557049,7900619,4,20150906
32027439,7900619,3,20150902
90475469,7900619,4,20150828
70185211,7900619,5,20150826
78539843,7900619,4,20150819
58181166,7900619,3,20150813
13002777,7900619,4,20150811
5128290,7900619,5,20150809
87842863,7900619,3,20150808
44964196,7900619,4,20150725
48422064,7900619,4,20150713
71983294,7900619,4,20150711
5148411,7900619,4,20150617
532842,7900619,5,20150612
39377816,7900619,3,20150605
94059532,5438654,5,20170615
89811568,5438654,4,20160907
70833090,5438654,5,20160522
92056148,5438654,5,20160411
266064,5438654,3,20160304
646104,5438654,4,20151217
73910484,5438654,5,20150819
50891966,5438654,4,20150604
89327496,5438654,4,20150528
19055882,5438654,4,20140903
277422,5438654,4,20140614
41039044,5438654,5,20140612
16005983,5438654,5,20140507
42194661,5438654,5,20140502
44346443,5438654,5,20140410
60108329,882154,1,20160503
92998014,882154,2,20160427
247109,882154,5,20160421
31742939,882154,5,20160420
82451346,882154,4,20160414
70992406,882154,5,20160404
266064,882154,3,20160322
50891966,882154,4,20160319
70035012,882154,4,20160310
92934694,882154,4,20160310
68938784,882154,3,20160217
17236981,882154,4,20160216
51719256,882154,5,20150630
41011267,882154,5,20151219
59758796,882154,3,20151127
19184685,5429548,5,20140518
16005983,5429548,5,20140507
39162470,5429548,4,20131204
61596267,5429548,3,20131201
39898072,5429548,2,20131129
30740216,5429548,4,20131128
17483146,5429548,5,20131112
79740933,5429548,4,20131019
19673110,5429548,3,20131018
61606777,5429548,2,20131017
19513229,5429548,4,20131015
180497,7900619,4,20151117
70099074,7900619,5,20151030
49913469,7900619,3,20151028
17534632,7900619,3,20151026
66507763,7900619,4,20151020
646104,7900619,5,20151016
60668533,7900619,4,20151016
48696480,7900619,3,20151001
38057506,7900619,5,20150930
74667840,7900619,4,20150925
85737125,7900619,3,20150921
52565054,7900619,5,20150917
19203253,7900619,5,20150910
69938340,7900619,4,20150910
34776074,7900619,5,20150910
93201491,882154,3,20170908
32220572,882154,4,20170916
93814475,882154,3,20170904
47918577,882154,3,20170818
75780321,882154,3,20170621
69873476,882154,4,20170301
38366609,882154,3,20170130
82774539,882154,4,20161109
19702329,882154,3,20160815
65324505,882154,4,20160807
50874310,882154,3,20160729
53271190,882154,1,20160728
93044542,882154,5,20160616
93102250,882154,3,20160517
82478566,882154,3,20160504
113215,5429548,4,20170510
58113986,5429548,4,20161103
19199774,5429548,4,20170703
717952,5429548,4,20170421
50572648,5429548,4,20170207
33824188,5429548,5,20170104
92341786,5429548,3,20161217
30423168,5429548,5,20160920
17611824,5429548,3,20160216
17336604,5429548,5,20150916
79983930,5429548,5,20150913
587403,5429548,5,20140816
17371764,5429548,4,20140614
41039044,5429548,5,20140612
19205406,5429548,4,20140522
91659947,7900619,3,20160101
57197974,7900619,4,20151118
51719256,7900619,5,20150630
93027865,7900619,1,20151230
92905541,7900619,3,20151218
899293,7900619,5,20151218
63128166,7900619,5,20151215
819105,7900619,3,20151215
10223480,7900619,3,20151215
17473712,7900619,3,20151212
91610079,7900619,3,20151209
51638113,7900619,4,20151206
46935126,7900619,5,20151204
59293123,7900619,4,20151203
34791560,7900619,2,20151120
50572648,5438625,5,20170207
347646,5438625,4,20160619
46924640,5438625,4,20160506
92724225,5438625,3,20151205
37950446,5438625,2,20151023
17179679,5438625,4,20151012
83644659,5439268,3,20131201
30165155,5439268,4,20131129
549940,5439268,5,20131125
19313695,5439268,4,20131120
66885918,5439268,5,20131114
51811822,5439268,4,20131108
77394413,5439268,4,20131103
19887561,5439268,4,20131022
263128,19235,4,20120220
184801,19235,5,20110815
138222,19235,5,20110506
61186573,5439268,3,20140822
430511,5439268,4,20140822
19043671,5439268,3,20140822
33164956,5439268,5,20140822
77877568,5439268,4,20140822
17450462,5439268,1,20140821
50473920,5439268,3,20140805
17489153,5439268,5,20140616
39369818,5439268,5,20140510
73750140,5439268,5,20140504
82478566,5439268,2,20140421
19553083,5439268,5,20140312
4132787,5439268,3,20140219
77607750,5439268,5,20140213
44284508,5439268,5,20131205
17117666,19235,5,20140626
54581667,19235,4,20140623
33321359,19235,3,20140620
17734056,19235,4,20140616
43469532,19235,3,20140611
855165,19235,5,20140521
17700340,19235,5,20140511
62081102,19235,5,20140429
17487179,19235,2,20131222
5396404,19235,3,20131215
51360296,19235,1,20131211
5011619,19235,4,20131203
5104825,19235,4,20130507
5018311,19235,3,20130507
5235991,19235,4,20130506
74267586,7900619,4,20170114
88415220,7900619,4,20170911
93953659,7900619,5,20161215
93793362,7900619,4,20161206
91672464,7900619,3,20161123
87705614,7900619,5,20161107
19398796,7900619,4,20160818
75300853,7900619,4,20160803
93044542,7900619,5,20160616
68706316,7900619,5,20160504
82223415,7900619,5,20160420
45031855,7900619,3,20160413
92608181,7900619,3,20160410
48512606,7900619,4,20160406
74284578,7900619,4,20160130
71196672,8081626,5,20151103
17602333,8081626,5,20151027
67326084,8081626,5,20151019
79558682,8081626,5,20151016
81286324,8081626,3,20151010
58807649,8081626,4,20150829
35848564,8081626,3,20150825
72217296,8081626,3,20150816
30022167,8081626,4,20150806
51895487,8081626,3,20150726
34371327,8081626,5,20150306
47303066,8081626,4,20150303
19024978,8081626,5,20140926
17487179,8081626,5,20140926
63160311,19235,4,20141023
73147196,19235,4,20140924
88590900,19235,5,20140918
725345,19235,4,20140906
54996189,19235,5,20140902
62935680,19235,4,20140813
5436776,19235,4,20140813
57625683,19235,3,20140812
5319306,19235,4,20140812
84618389,19235,4,20140812
38894210,19235,3,20140812
19354600,19235,3,20140804
19484799,19235,5,20140729
554407,19235,4,20140715
60794278,19235,3,20140711
78065230,5439268,3,20170820
35310619,5439268,4,20160923
57941387,5439268,3,20160611
72614919,5439268,2,20160229
92857356,5439268,4,20160117
5521536,5439268,5,20151204
52188446,5439268,3,20151230
91640367,5439268,4,20151227
92866242,5439268,4,20151223
91617963,5439268,3,20151214
36759789,5439268,5,20150616
82858214,5439268,5,20150219
72221225,5439268,4,20150219
73452121,5439268,5,20141218
36896032,5439268,1,20141129
50221968,5437590,3,20131114
84645381,5437590,4,20131114
17483146,5437590,4,20131114
19954482,5437590,5,20131023
19887561,5437590,3,20131022
19203346,5437590,3,20131022
17435619,5437590,5,20131019
36446496,5437590,3,20131018
329685,5437590,1,20131016
10745549,5437590,3,20131016
19930977,5437590,1,20131014
582685,5437590,3,20131014
85189939,5437590,5,20131014
38217665,5437590,3,20130830
90330248,8081626,5,20160515
90115472,8081626,4,20160515
247109,8081626,5,20160515
326816,8081626,3,20160417
30448327,8081626,4,20160408
83734680,8081626,5,20160407
73378937,8081626,2,20160331
69281636,8081626,5,20160308
304901,8081626,5,20160208
64854124,8081626,3,20160131
667293,8081626,4,20160119
48746161,8081626,5,20151227
90115323,8081626,5,20151218
92516709,8081626,5,20151130
91557173,8081626,3,20151106
55190121,6583842,3,20170814
86917917,6583842,3,20160226
45279243,6583842,5,20151130
75543612,6583842,4,20151011
36759789,6583842,5,20150616
32773399,6583842,5,20150613
42485995,6583842,3,20150112
53451055,6583842,4,20141227
71318879,6583842,4,20141118
19840658,6583842,5,20141028
72045660,19235,4,20150830
67296102,19235,4,20150824
5188202,19235,3,20150812
69493799,19235,4,20150812
30670797,19235,3,20150809
41608243,19235,2,20150809
1105321,19235,4,20150807
33936233,19235,3,20150804
56493803,19235,3,20150729
36759789,19235,5,20150616
90509052,19235,4,20150614
17587617,19235,5,20150507
69613663,19235,3,20150111
85900786,19235,3,20141028
62639641,19235,4,20141026
752740,5437590,3,20131129
17498772,5437590,5,20131129
10255078,5437590,4,20131128
10255078,5437590,3,20131128
17179679,5437590,3,20131128
89990577,5437590,3,20131128
857497,5437590,5,20131127
4026283,5437590,1,20131126
555330,5437590,5,20131126
77592989,5437590,5,20131126
770147,5437590,4,20131125
57209437,5437590,5,20131123
19191398,5437590,3,20131123
46221031,5437590,4,20131121
64970686,5437590,1,20131120
94082370,8081626,4,20170904
61814499,8081626,4,20170818
38075698,8081626,3,20170703
1383397363,8081626,3,20170609
76083947,8081626,4,20170607
53407135,8081626,4,20170527
69873476,8081626,4,20170301
57727670,8081626,4,20161229
93793362,8081626,3,20161215
82774539,8081626,4,20161109
13081795,8081626,4,20160804
54963106,8081626,5,20160719
56933918,8081626,4,20160622
41011267,8081626,4,20160516
82451346,8081626,5,20160516
17450462,934421,3,20140625
19116177,934421,4,20140621
72217296,934421,4,20140620
39440870,934421,4,20140613
19867468,934421,4,20140611
73680187,934421,5,20140518
75499583,934421,5,20140403
48312755,934421,5,20140214
79840162,934421,4,20131114
65304920,934421,5,20131016
19143224,934421,5,20140614
10647032,19235,3,20170819
45867656,19235,5,20170716
60622216,19235,5,20170205
32307882,19235,3,20161206
59836378,19235,2,20161003
93509079,19235,2,20160628
93173876,19235,5,20160604
71254272,19235,3,20160501
53294015,19235,3,20160217
93131840,19235,5,20160105
90325736,19235,4,20151209
84160659,19235,3,20151102
53616213,19235,5,20151025
46722755,19235,4,20151015
43974402,19235,5,20150916
39813882,6329909,5,20141029
19050453,6329909,3,20140909
67893573,6329909,5,20140826
19575473,6329909,5,20140802
396583,6329909,4,20140703
855165,6329909,4,20140516
19191398,6329909,5,20131213
435256,6329909,4,20131205
438791,6329909,4,20131116
72186862,6329909,5,20131109
695914,6329909,5,20131108
1053116,6329909,5,20131024
152668,6329909,1,20130913
49623999,5437590,4,20140224
76413826,5437590,5,20140209
71781062,5437590,4,20140205
64397620,5437590,3,20140202
888517,5437590,3,20140202
17624647,5437590,4,20140123
369050,5437590,2,20140102
82478566,5437590,4,20131228
194819,5437590,5,20131226
10182328,5437590,5,20131220
44463221,5437590,5,20131217
17304310,5437590,2,20131212
50740165,5437590,3,20131207
46935126,5437590,3,20131203
44284508,5437590,4,20131201
957684,934421,3,20150918
46300995,934421,3,20150823
30839388,934421,5,20150819
5133714,934421,3,20150806
5627400,934421,5,20150623
17465675,934421,4,20150617
76279411,934421,4,20150610
35955494,934421,4,20141031
85840874,934421,5,20141008
81928271,934421,3,20140928
64490794,934421,4,20140906
50473920,934421,3,20140902
17450462,934421,3,20140725
84139345,934421,4,20140714
17450462,934421,3,20140625
66791356,5437590,5,20140518
61949464,5437590,3,20140505
31979453,5437590,4,20140504
13001179,5437590,4,20140426
46259312,5437590,3,20140425
17307548,5437590,5,20140424
56113394,5437590,3,20140420
17761196,5437590,4,20140411
83638683,5437590,3,20140404
75445904,5437590,5,20140402
33615023,5437590,3,20140318
13022435,5437590,3,20140311
5451212,5437590,3,20140305
19678204,5437590,4,20140225
863057,5437590,5,20140224
57623748,6329909,3,20150803
13083871,6329909,5,20150725
5409365,6329909,4,20150610
83375004,6329909,5,20150518
10263957,6329909,5,20150513
53858973,6329909,5,20150425
10144921,6329909,4,20150420
43974402,6329909,5,20150112
17256151,6329909,5,20150109
364868,6329909,5,20150106
5331641,6329909,3,20150104
10403306,6329909,3,20141128
362882,6329909,4,20141111
39676408,6329909,3,20141107
59495230,6329909,4,20141031
45988607,6565751,5,20140723
19143224,6565751,5,20140709
50473920,6565751,4,20140706
17450462,6565751,4,20140627
75675768,6329909,5,20151105
67326084,6329909,5,20151029
288045,6329909,4,20151015
445643,6329909,5,20151014
19774954,6329909,5,20151008
247109,6329909,4,20150910
64759123,6329909,5,20150830
39939208,6329909,2,20150826
76067298,6329909,5,20150825
928452,6329909,3,20150820
67296102,6329909,4,20150816
79983930,6329909,5,20150812
64872970,6329909,4,20150810
48073258,6329909,3,20150807
331928,6329909,5,20150803
57610980,5437590,5,20140702
53589730,5437590,4,20140628
19818392,5437590,5,20140626
19753122,5437590,4,20140620
54461838,5437590,5,20140620
30171593,5437590,4,20140609
31987081,5437590,4,20140530
43365288,5437590,4,20140530
38621678,5437590,4,20140530
77733159,5437590,5,20140529
19402731,5437590,4,20140529
17416628,5437590,4,20140528
10403306,5437590,3,20140526
813333,5437590,4,20140524
19183481,5437590,4,20140523
48959457,934421,4,20170710
93814475,934421,4,20170902
64228778,934421,1,20170419
71096972,934421,4,20160613
53299119,934421,3,20160528
50891966,934421,4,20160425
38896164,934421,4,20160315
40923820,934421,5,20160312
42505178,934421,3,20160303
67887779,934421,5,20160216
92772100,934421,5,20160209
93011286,934421,5,20151229
92702755,934421,5,20151203
64369851,934421,5,20151129
82738873,934421,5,20151011
19693512,5426819,4,20131026
80217242,5426819,3,20131024
78040533,5426819,5,20131023
86331581,5426819,3,20131022
19887561,5426819,3,20131022
78558098,5426819,4,20131019
48242209,5426819,4,20131018
5126965,5426819,5,20131017
10250017,5426819,3,20131017
85866277,5426819,4,20131014
17289241,5426819,4,20140705
19633867,5437590,3,20141211
50114278,5437590,3,20141208
32773399,5437590,5,20141207
54654848,5437590,3,20141203
35784589,5437590,5,20141126
31175516,5437590,3,20141118
70538266,5437590,3,20141015
78458718,5437590,3,20141014
89153611,5437590,5,20141005
17465042,5437590,4,20141004
81697281,5437590,5,20140922
75023873,5437590,4,20140922
84031730,5437590,5,20140919
60471924,5437590,4,20140905
75372645,5437590,2,20140903
90435850,6329909,2,20160416
69499921,6329909,5,20160319
49668080,6329909,5,20160317
62525698,6329909,4,20160309
17318314,6329909,4,20160307
91677487,6329909,4,20160306
266064,6329909,3,20160305
936017,6329909,5,20160227
42208172,6329909,3,20150706
899293,6329909,5,20151210
45279243,6329909,5,20151207
56244125,6329909,5,20151127
90325669,6329909,5,20151110
49772906,6329909,4,20151108
63385304,6329909,5,20151108
5074437,5426819,5,20131202
11076005,5426819,5,20131202
17685684,5426819,4,20131130
57086068,5426819,5,20131129
17304310,5426819,5,20131128
75883295,5426819,5,20131128
36934626,5426819,5,20131126
77592989,5426819,5,20131126
57209437,5426819,5,20131123
87948480,5426819,5,20131119
17629219,5426819,3,20131117
19188369,5426819,5,20131115
84558940,5426819,5,20131114
561445,5426819,5,20131113
17483146,5426819,5,20131113
73814274,5437590,3,20150404
89411638,5437590,2,20150306
19595899,5437590,2,20150306
78591106,5437590,3,20150303
67046876,5437590,4,20150302
57784614,5437590,4,20150223
73586592,5437590,4,20150216
5259748,5437590,4,20150211
71278621,5437590,4,20150202
19182518,5437590,3,20150126
45370173,5437590,5,20150119
89839456,5437590,5,20150105
82550856,5437590,4,20141229
83791113,5437590,4,20141219
70497472,5437590,5,20141214
17416628,5426819,4,20140528
5364856,5426819,4,20140403
80665298,5426819,5,20140313
13022435,5426819,4,20140311
86302502,5426819,5,20140228
60129292,5426819,4,20140224
49623999,5426819,3,20140224
17108091,5426819,5,20140223
1021085,5426819,3,20140217
19329165,5426819,4,20140209
80305219,5426819,5,20131222
19121306,5426819,3,20131218
19229430,5426819,4,20131218
1088954,5426819,2,20131210
521944,5426819,4,20131203
94204385,6329909,2,20170911
93814475,6329909,3,20170830
42657297,6329909,2,20170828
38274473,6329909,4,20170620
93997696,6329909,1,20170612
62433435,6329909,4,20170221
291598,6329909,5,20161009
46503194,6329909,5,20160929
88436311,6329909,5,20160919
64329250,6329909,5,20160907
879532,6329909,3,20160809
65581778,6329909,4,20160805
46856126,6329909,5,20160704
93212900,6329909,3,20160622
34532944,6329909,5,20160420
725345,5428131,4,20131015
41394911,7061730,5,20140613
60909479,7061730,4,20140612
5052935,7061730,4,20140610
657089,7061730,4,20140609
87364176,7061730,5,20140521
75499583,7061730,5,20140403
54777317,7061730,5,20140318
1083996,5437590,5,20150730
87184719,5437590,4,20150727
82989627,5437590,5,20150720
53094924,5437590,5,20150714
60228652,5437590,1,20150713
90534100,5437590,4,20150711
63230248,5437590,4,20150615
55263895,5437590,3,20150525
81982886,5437590,4,20150525
17631099,5437590,3,20150524
333280,5437590,4,20150512
87475184,5437590,2,20150503
58787959,5437590,4,20150423
58813115,5437590,3,20150420
64729003,5437590,3,20150407
19060067,5426819,4,20150121
19633867,5426819,4,20141211
46221031,5426819,4,20141206
73636761,5426819,5,20141115
37979916,5426819,5,20141104
64154980,5426819,4,20141015
43046547,5426819,4,20141006
30332536,5426819,5,20140905
85286646,5426819,4,20140820
10322597,5426819,4,20140820
17279040,5426819,4,20140820
19642384,5426819,4,20140716
19673110,5426819,3,20140624
48799268,5426819,4,20140530
17311602,5426819,4,20140529
54854113,7061730,5,20140820
68938784,7061730,4,20140818
82858214,7061730,5,20140814
64946554,7061730,4,20140805
59904354,7061730,4,20140804
587403,7061730,3,20140731
10384361,7061730,3,20140730
39325226,7061730,2,20140716
50473920,7061730,3,20140630
19593593,7061730,3,20140627
17450462,7061730,3,20140625
54581667,7061730,4,20140624
47603949,7061730,4,20140623
19143224,7061730,5,20140614
76192748,7061730,4,20140613
67326084,5437590,3,20151014
41696229,5437590,5,20151014
38057506,5437590,3,20151010
58773529,5437590,5,20150921
39476901,5437590,5,20150912
90042022,5437590,3,20150911
48073258,5437590,3,20150902
36967577,5437590,4,20150821
19039377,5437590,3,20150818
82879885,5437590,3,20150816
5458880,5437590,3,20150811
58145296,5437590,3,20150810
5128290,5437590,5,20150809
88576522,5437590,3,20150806
62867573,5437590,4,20150805
19590238,5426819,5,20150830
5128290,5426819,5,20150809
45798236,5426819,5,20150805
5456423,5426819,5,20150804
82989627,5426819,5,20150720
5715013,5426819,4,20150711
19125704,5426819,5,20150709
46413752,5426819,5,20150616
974499,5426819,5,20150612
30055469,5426819,5,20150418
81927991,5426819,4,20150411
58813115,5426819,3,20150322
74992325,5426819,3,20150306
71278621,5426819,4,20150204
48619207,5426819,4,20150130
65035792,7061730,4,20141227
74610736,7061730,3,20141209
66425192,7061730,3,20141207
34741381,7061730,5,20141202
59116350,7061730,5,20141123
76725239,7061730,4,20141120
32589139,7061730,4,20141017
82738873,7061730,4,20141006
5009154,7061730,3,20141003
918633,7061730,5,20140908
3444746,7061730,2,20140903
59306938,7061730,5,20140902
298942,7061730,5,20140831
88208346,7061730,3,20140830
56794748,7061730,5,20140823
92996887,5437590,4,20160220
85795942,5437590,5,20160206
74284578,5437590,3,20160130
55734620,5437590,4,20160121
17379596,5437590,5,20160111
36632332,5437590,5,20160103
51719256,5437590,5,20150630
44312544,5437590,4,20140402
60943068,5437590,2,20151129
66507763,5437590,4,20151125
90459300,5437590,4,20151122
40535544,5437590,4,20151117
34456078,5437590,3,20151110
91554329,5437590,3,20151104
13134390,5437590,3,20151026
74267586,5426819,4,20170114
1077960,5426819,5,20161024
34701954,5426819,4,20170810
58604271,5426819,4,20170701
90438944,5426819,5,20170312
38354087,5426819,5,20160813
41731520,5426819,4,20160411
92608181,5426819,4,20160410
85795942,5426819,5,20160213
88053504,5426819,3,20131118
91529798,5426819,4,20151214
48073258,5426819,5,20151104
66507763,5426819,4,20151020
63846625,5426819,3,20150912
71598437,5426819,4,20150906
