@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
61182758,5426737,5,20170815,50
59775813,5426737,4,20170425,50
69929795,5426737,4,20170221,50
5028582,5426737,3,20170901,50
51650674,5426737,4,20170804,50
85982192,5426737,5,20170615,50
87149719,5426737,5,20170605,50
86658600,5426737,5,20170201,50
67025169,5426737,5,20170124,50
91548578,5426737,4,20170118,50
37972963,5426737,5,20161110,50
45969171,5426737,3,20161022,50
1381100473,5426737,4,20161002,50
19087787,5426737,3,20160922,50
5338768,5426737,5,20160708,50
93474978,8473068,1,20161002,46
5334886,6588597,1,20170620,51
52268437,6588597,4,20161203,51
13002777,6588597,4,20141231,51
5060488,6588597,3,20140729,51
264031,6588597,5,20140306,51
81946264,882154,5,20140621,44
470344,882154,4,20140515,44
19660124,882154,4,20140513,44
49128303,882154,4,20140416,44
50863275,882154,5,20140410,44
948620,882154,4,20140408,44
41900929,882154,4,20140322,44
59380787,882154,4,20140322,44
63390766,882154,3,20140304,44
19731650,882154,2,20140216,44
71797120,882154,3,20140125,44
19191398,882154,3,20131228,44
34371327,882154,2,20131227,44
93814475,5438904,3,20170901,26
74267586,5438904,4,20170701,26
82717439,5438904,4,20170618,26
48433086,5438904,3,20170504,26
91727393,5438904,5,20170327,26
55412083,5438904,3,20161126,26
60049768,5438904,3,20161025,26
5486156,5438904,4,20160520,26
62525698,5438904,3,20160514,26
34865671,5438904,1,20160414,26
90460320,5438904,5,20160414,26
72954917,5438904,4,20160328,26
5575708,5438904,4,20160326,26
46758152,5438904,5,20160322,26
266064,5438904,3,20160317,26
85078690,10007,3,20170529,68
90401345,10007,3,20170807,68
31157787,10007,4,20170320,68
55947115,10007,4,20161018,68
31870162,10007,5,20161008,68
320111,10007,4,20160930,68
19441100,10007,4,20160808,68
77769807,10007,5,20160720,68
66058329,10007,5,20160526,68
84439111,10007,5,20160524,68
90460320,10007,5,20160401,68
90520219,10007,5,20160327,68
80048035,10007,5,20160317,68
17470407,10007,4,20151027,68
50127877,10007,3,20151120,68
10403306,7900619,5,20140526,46
42722877,7900619,5,20140522,46
82696130,7900619,3,20140427,46
47994669,7900619,3,20140424,46
82852360,7900619,3,20140418,46
51896978,7900619,4,20140417,46
82030363,7900619,5,20140415,46
69612300,7900619,5,20140415,46
30117631,7900619,5,20140414,46
75892404,7900619,5,20140406,46
64478730,7900619,3,20140328,46
51320133,7900619,4,20140324,46
66807807,7900619,5,20140318,46
176386,7900619,5,20140316,46
17217882,7900619,5,20140225,46
1087033,9033765,4,20160824,46
68397948,9033765,3,20160817,46
10569898,9033765,1,20160730,46
33122061,9033765,5,20160701,46
55066214,9033765,3,20160610,46
35996631,9033765,5,20160512,46
5131876,9033765,5,20160413,46
49232376,9033765,5,20160407,46
48242209,9033765,4,20160319,46
39942441,882154,5,20141224,46
2131530,882154,5,20141209,46
42768183,882154,3,20141105,46
19302912,882154,4,20140926,46
51990330,882154,4,20140926,46
158081,882154,3,20140920,46
59904862,882154,5,20140917,46
5384605,882154,4,20140908,46
71196672,882154,3,20140902,46
17229738,882154,3,20140828,46
17245887,882154,3,20140815,46
86718933,882154,1,20140808,46
17374199,882154,5,20140728,46
10240389,882154,3,20140726,46
17658201,882154,5,20140717,46
67535465,7900619,3,20140901,46
52576710,7900619,4,20140822,46
36281389,7900619,4,20140822,46
587403,7900619,3,20140818,46
17297059,7900619,5,20140812,46
90029721,7900619,5,20140804,46
83683458,7900619,5,20140731,46
939227,7900619,4,20140727,46
52666344,7900619,5,20140725,46
37076884,7900619,5,20140707,46
43069673,7900619,5,20140628,46
739287,7900619,2,20140625,46
48089716,7900619,4,20140616,46
19083211,7900619,3,20140609,46
35790884,7900619,4,20140527,46
927538,882154,3,20150809,46
49623999,882154,3,20150805,46
54483776,882154,3,20150729,46
36759789,882154,5,20150616,46
17224276,882154,4,20150609,46
90115323,882154,5,20150505,46
1385476500,882154,5,20150420,46
89815846,882154,3,20150406,46
58813115,882154,3,20150404,46
59356254,882154,4,20150310,46
710037,882154,5,20150302,46
31984744,882154,3,20150224,46
42106862,882154,4,20150206,46
553001,882154,4,20150114,46
364868,882154,3,20150106,46
85346623,9033765,1,20170805,46
63945255,9033765,1,20170804,46
46134329,9033765,1,20170616,46
5260697,9033765,4,20170302,46
5517678,9033765,5,20170901,46
85554465,9033765,4,20170813,46
5148322,9033765,1,20170805,46
5606415,9033765,5,20170731,46
88653982,9033765,1,20170629,46
75427849,9033765,4,20170125,46
37730719,9033765,1,20170115,46
33410508,9033765,5,20161223,46
63221833,9033765,1,20161007,46
64665009,9033765,5,20160911,46
93126362,9033765,3,20160828,46
17089746,5438654,5,20140304,45
30090484,7925427,3,20160427,18
40884383,7925427,3,20150929,18
68226330,7925427,3,20150921,18
62632430,7925427,3,20150822,18
48262917,7925427,3,20150810,18
75063435,7925427,3,20150507,18
57816645,7925427,5,20140831,18
19338802,7925427,3,20140822,18
87269511,7900619,4,20150525,18
86921328,7900619,3,20150316,18
35758270,7900619,5,20150210,18
83084459,7900619,4,20150206,18
43974402,7900619,5,20150119,18
66944167,7900619,5,20150118,18
50257914,7900619,4,20141229,18
89513539,7900619,5,20141224,18
82680859,7900619,5,20141201,18
82034884,7900619,5,20141130,18
60398453,7900619,5,20141125,18
65035792,7900619,5,20141109,18
36663779,7900619,4,20141031,18
71722033,7900619,5,20141024,18
39164466,7900619,4,20140925,18
66716514,882154,2,20151105,18
66441144,882154,3,20151028,18
91461705,882154,5,20151022,18
17459344,882154,5,20151016,18
72261354,882154,5,20151015,18
59682099,882154,4,20150929,18
17460966,882154,4,20150922,18
57727670,882154,4,20150913,18
64005679,882154,3,20150829,18
5556565,882154,5,20150827,18
39845602,882154,3,20150826,18
55202325,882154,5,20150822,18
84365595,882154,5,20150821,18
43992553,882154,3,20150817,18
74308733,882154,5,20150812,18
64557049,7900619,4,20150906,18
32027439,7900619,3,20150902,18
90475469,7900619,4,20150828,18
70185211,7900619,5,20150826,18
78539843,7900619,4,20150819,18
58181166,7900619,3,20150813,18
13002777,7900619,4,20150811,18
5128290,7900619,5,20150809,18
87842863,7900619,3,20150808,18
44964196,7900619,4,20150725,18
48422064,7900619,4,20150713,18
71983294,7900619,4,20150711,18
5148411,7900619,4,20150617,18
532842,7900619,5,20150612,18
39377816,7900619,3,20150605,18
94059532,5438654,5,20170615,18
89811568,5438654,4,20160907,18
70833090,5438654,5,20160522,18
92056148,5438654,5,20160411,18
266064,5438654,3,20160304,18
646104,5438654,4,20151217,18
73910484,5438654,5,20150819,18
50891966,5438654,4,20150604,18
89327496,5438654,4,20150528,18
19055882,5438654,4,20140903,18
277422,5438654,4,20140614,18
41039044,5438654,5,20140612,18
16005983,5438654,5,20140507,18
42194661,5438654,5,20140502,18
44346443,5438654,5,20140410,18
60108329,882154,1,20160503,18
92998014,882154,2,20160427,18
247109,882154,5,20160421,18
31742939,882154,5,20160420,18
82451346,882154,4,20160414,18
70992406,882154,5,20160404,18
266064,882154,3,20160322,18
50891966,882154,4,20160319,18
70035012,882154,4,20160310,18
92934694,882154,4,20160310,18
68938784,882154,3,20160217,18
17236981,882154,4,20160216,18
51719256,882154,5,20150630,18
41011267,882154,5,20151219,18
59758796,882154,3,20151127,18
19184685,5429548,5,20140518,45
16005983,5429548,5,20140507,45
39162470,5429548,4,20131204,45
61596267,5429548,3,20131201,45
39898072,5429548,2,20131129,45
30740216,5429548,4,20131128,45
17483146,5429548,5,20131112,45
79740933,5429548,4,20131019,45
19673110,5429548,3,20131018,45
