@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE season NUMERIC

@DATA

61182758,5426737,5,20170815103743,2
59775813,5426737,4,20170425142249,1
69929795,5426737,4,20170221122228,4
5028582,5426737,3,20170901171000,3
51650674,5426737,4,20170804142023,2
85982192,5426737,5,20170615140437,2
87149719,5426737,5,20170605134904,2
86658600,5426737,5,20170201093933,4
67025169,5426737,5,20170124124000,4
91548578,5426737,4,20170118200504,4
37972963,5426737,5,20161110083958,3
45969171,5426737,3,20161022225558,3
1381100473,5426737,4,20161002100420,3
19087787,5426737,3,20160922150635,3
5338768,5426737,5,20160708004346,2
93474978,8473068,1,20161002170314,3
5334886,6588597,1,20170620092655,2
52268437,6588597,4,20161203101902,4
13002777,6588597,4,20141231163740,4
5060488,6588597,3,20140729180656,2
264031,6588597,5,20140306132354,1
81946264,882154,5,20140621123805,2
470344,882154,4,20140515210943,1
19660124,882154,4,20140513134356,1
49128303,882154,4,20140416232900,1
50863275,882154,5,20140410125136,1
948620,882154,4,20140408104218,1
41900929,882154,4,20140322214751,1
59380787,882154,4,20140322204050,1
63390766,882154,3,20140304131532,1
19731650,882154,2,20140216120826,4
71797120,882154,3,20140125202604,4
19191398,882154,3,20131228141839,4
34371327,882154,2,20131227121247,4
93814475,5438904,3,20170901145950,3
74267586,5438904,4,20170701102404,2
82717439,5438904,4,20170618204835,2
48433086,5438904,3,20170504165720,1
91727393,5438904,5,20170327220731,1
55412083,5438904,3,20161126204950,3
60049768,5438904,3,20161025155311,3
5486156,5438904,4,20160520142444,1
62525698,5438904,3,20160514072838,1
34865671,5438904,1,20160414145418,1
90460320,5438904,5,20160414135607,1
72954917,5438904,4,20160328213516,1
5575708,5438904,4,20160326203626,1
46758152,5438904,5,20160322134852,1
266064,5438904,3,20160317181757,1
85078690,10007,3,20170529111421,1
90401345,10007,3,20170807085923,2
31157787,10007,4,20170320140631,1
55947115,10007,4,20161018170606,3
31870162,10007,5,20161008222459,3
320111,10007,4,20160930154904,3
19441100,10007,4,20160808140023,2
77769807,10007,5,20160720063454,2
66058329,10007,5,20160526180017,1
84439111,10007,5,20160524104221,1
90460320,10007,5,20160401110016,1
90520219,10007,5,20160327112619,1
80048035,10007,5,20160317190930,1
17470407,10007,4,20151027155606,3
50127877,10007,3,20151120063849,3
10403306,7900619,5,20140526000930,1
42722877,7900619,5,20140522151230,1
82696130,7900619,3,20140427015320,1
47994669,7900619,3,20140424203902,1
82852360,7900619,3,20140418141546,1
51896978,7900619,4,20140417132911,1
82030363,7900619,5,20140415155910,1
69612300,7900619,5,20140415111210,1
30117631,7900619,5,20140414230120,1
75892404,7900619,5,20140406111355,1
64478730,7900619,3,20140328141740,1
51320133,7900619,4,20140324193628,1
66807807,7900619,5,20140318153603,1
176386,7900619,5,20140316110952,1
17217882,7900619,5,20140225194046,4
1087033,9033765,4,20160824105853,2
68397948,9033765,3,20160817180855,2
10569898,9033765,1,20160730171906,2
33122061,9033765,5,20160701113959,2
55066214,9033765,3,20160610135717,2
35996631,9033765,5,20160512162414,1
5131876,9033765,5,20160413205020,1
49232376,9033765,5,20160407220547,1
48242209,9033765,4,20160319151107,1
39942441,882154,5,20141224104540,4
2131530,882154,5,20141209104946,4
42768183,882154,3,20141105103611,3
19302912,882154,4,20140926171702,3
51990330,882154,4,20140926113738,3
158081,882154,3,20140920112025,3
59904862,882154,5,20140917113858,3
5384605,882154,4,20140908011531,3
71196672,882154,3,20140902133416,3
17229738,882154,3,20140828090645,2
17245887,882154,3,20140815144326,2
86718933,882154,1,20140808163541,2
17374199,882154,5,20140728101653,2
10240389,882154,3,20140726095916,2
17658201,882154,5,20140717165621,2
67535465,7900619,3,20140901155957,3
52576710,7900619,4,20140822193142,2
36281389,7900619,4,20140822102621,2
587403,7900619,3,20140818101914,2
17297059,7900619,5,20140812112117,2
90029721,7900619,5,20140804151120,2
83683458,7900619,5,20140731104336,2
939227,7900619,4,20140727205941,2
52666344,7900619,5,20140725125558,2
37076884,7900619,5,20140707154836,2
43069673,7900619,5,20140628210440,2
739287,7900619,2,20140625002407,2
48089716,7900619,4,20140616125410,2
19083211,7900619,3,20140609105341,2
35790884,7900619,4,20140527142321,1
927538,882154,3,20150809204118,2
49623999,882154,3,20150805001412,2
54483776,882154,3,20150729095415,2
36759789,882154,5,20150616101655,2
17224276,882154,4,20150609015707,2
90115323,882154,5,20150505235310,1
1385476500,882154,5,20150420202851,1
89815846,882154,3,20150406223850,1
58813115,882154,3,20150404155134,1
59356254,882154,4,20150310154803,1
710037,882154,5,20150302090657,1
31984744,882154,3,20150224091647,4
42106862,882154,4,20150206131718,4
553001,882154,4,20150114104225,4
364868,882154,3,20150106213521,4
85346623,9033765,1,20170805230459,2
63945255,9033765,1,20170804114525,2
46134329,9033765,1,20170616050455,2
5260697,9033765,4,20170302164648,1
5517678,9033765,5,20170901100558,3
85554465,9033765,4,20170813195122,2
5148322,9033765,1,20170805185529,2
5606415,9033765,5,20170731195458,2
88653982,9033765,1,20170629095339,2
75427849,9033765,4,20170125153226,4
37730719,9033765,1,20170115173628,4
33410508,9033765,5,20161223180856,4
63221833,9033765,1,20161007120925,3
64665009,9033765,5,20160911130508,3
93126362,9033765,3,20160828184826,2
17089746,5438654,5,20140304213518,1
30090484,7925427,3,20160427234146,1
40884383,7925427,3,20150929110033,3
68226330,7925427,3,20150921140658,3
62632430,7925427,3,20150822010558,2
48262917,7925427,3,20150810163628,2
75063435,7925427,3,20150507212929,1
57816645,7925427,5,20140831073145,2
19338802,7925427,3,20140822133100,2
87269511,7900619,4,20150525202428,1
86921328,7900619,3,20150316123349,1
35758270,7900619,5,20150210230552,4
83084459,7900619,4,20150206085856,4
43974402,7900619,5,20150119103349,4
66944167,7900619,5,20150118150311,4
50257914,7900619,4,20141229110439,4
89513539,7900619,5,20141224104349,4
82680859,7900619,5,20141201135918,4
82034884,7900619,5,20141130195423,3
60398453,7900619,5,20141125131501,3
65035792,7900619,5,20141109152208,3
